Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Rainfall,Crop,Yield,drought_index
21.0,26.0,27.0,27.00315545,47.67525434,5.699586972,95.85118326,Mango,6.2166061010848646,0.2817195837211077
29.0,35.0,28.0,28.3471611,53.53903102,6.967417766,90.40260445,Mango,6.2166061010848646,0.3135657569748738
60.0,44.0,23.0,24.7947077,70.04556743,5.722579819,76.72860067,Maize,7.23561914106675,0.32314818047324256
80.0,77.0,49.0,26.05433004,79.39654531,5.519088423,113.2297373,Banana,6.68586094706836,0.23010147916062496
60.0,55.0,44.0,23.00445915,82.3207629,7.840207144,263.9642476,Rice,8.853808274977197,0.08714990517953954
24.0,45.0,19.0,26.85851927,48.8246387,5.952384957,34.7426459,MothBeans,8.03947991910045,0.7730706331226572
10.0,141.0,201.0,22.12659387,90.97818277,6.386021424,104.5412275,Apple,6.7464121285733745,0.21165423820839926
7.0,79.0,23.0,19.6365349,19.68751084,5.821649914,96.65888933,KidneyBeans,7.696667081526462,0.20315291261963514
21.0,63.0,17.0,25.08966129,68.17543102,6.559681838,41.45486619,Lentil,6.55250788703459,0.6052283746123874
29.0,75.0,75.0,19.62416326,18.71483156,7.064790365,88.4585692,ChickPea,7.313886831633462,0.2218458136420043
27.0,69.0,22.0,17.91652287,24.90814655,5.932323085,69.14681022,KidneyBeans,7.244941546337007,0.2591084507066206
129.0,35.0,15.0,25.248679,83.4630147,5.898293044,86.55517751,Cotton,6.089044875446846,0.2917061662101713
39.0,60.0,15.0,35.09357419,30.98685456,5.004074624,116.9106908,PigeonPeas,8.412054873292933,0.3001742094487586
34.0,71.0,79.0,17.927806,15.85622899,7.728998197,74.63872762,ChickPea,6.90875477931522,0.24019442143858533
35.0,66.0,81.0,19.37101121,15.77458129,6.138243973,85.24819851,ChickPea,7.346655163176539,0.22723073972590033
87.0,25.0,46.0,27.42711692,90.02696201,6.379690748,21.90440445,Muskmelon,7.8709295967551425,1.2521279439523276
35.0,135.0,199.0,21.77466746,80.54942557,6.400719746,69.39630398,Grapes,8.055475141757274,0.3137727257511831
37.0,62.0,22.0,24.02037872,61.62313345,7.397546271,49.78102578,Lentil,2.1972245773362196,0.4825207664729401
17.0,136.0,196.0,23.87192332,90.49939035,5.882155988,103.0548094,Apple,7.5126175446745105,0.23164298160046448
31.0,51.0,25.0,27.53592929,85.5701901,7.196774236,53.01899249,MungBean,7.824445930877619,0.5193597235933897
40.0,62.0,19.0,27.32198928,34.13737127,4.697750704,96.51524028,PigeonPeas,7.0909098220799835,0.28308471488964265
30.0,70.0,79.0,20.26942271,19.96978871,7.313122235,69.64449182,ChickPea,7.824445930877619,0.2910412895175834
129.0,56.0,18.0,23.80834611,83.91902605,6.691268104,70.97358303,Cotton,7.917900586327916,0.3354536306358079
43.0,79.0,79.0,19.40751744,18.98030507,7.806747656,80.25064637,ChickPea,8.699681400989514,0.24183627566190827
16.0,80.0,20.0,31.24021696,56.67369054,7.339320929,122.0146733,PigeonPeas,8.31898612539206,0.2560365578378321
6.0,125.0,204.0,27.92004934,82.93262435,5.733539807,69.92092839,Grapes,8.85893722196655,0.3993089047713503
31.0,130.0,198.0,21.80129837,92.73446667,5.554823557,120.0586671,Apple,8.556606193773073,0.1815887090435982
28.0,58.0,24.0,19.72702528,18.28173015,5.748190463,143.7630894,KidneyBeans,8.987321812850125,0.13721898549175035
58.0,61.0,15.0,30.94908189,64.23364112,7.402891666,62.78730907,Blackgram,1.0986122886681098,0.49291938679146846
58.0,75.0,25.0,25.25596239,61.36669662,7.261791753,68.64685069,Blackgram,6.90875477931522,0.36791145016067
24.0,70.0,21.0,19.14729038,45.3733757,5.517208078,132.7748215,PigeonPeas,8.188966863648876,0.1442087450184063
86.0,31.0,35.0,27.01207284,60.76645256,6.485761419,191.4508931,Coffee,7.00397413672268,0.14109139111970578
28.0,58.0,25.0,27.4818649,62.04814951,6.861640036,37.81123974,Lentil,8.517393171418904,0.7268173453635569
105.0,60.0,23.0,23.53371386,77.21705554,6.207652157,87.54004943,Cotton,7.048386408721883,0.26883368253213086
27.0,13.0,8.0,13.36050601,91.35608208,7.335158382,111.2266885,Orange,6.2166061010848646,0.12011960608535788
21.0,9.0,40.0,24.51147697,90.64498715,5.956401828,105.6209954,Pomegranate,7.937731775260109,0.23207011896499605
1.0,17.0,8.0,11.82768186,91.38411917,6.8198271,117.5293447,Orange,8.366602832783736,0.10063598915814972
13.0,126.0,204.0,23.1094265,92.79630809,6.383180271,108.183792,Apple,7.507141079727608,0.21361265001566848
8.0,60.0,18.0,31.21629982,46.01868196,4.603563116,53.1205277,MothBeans,7.496097345175956,0.5876504087161675
107.0,38.0,29.0,26.65069302,57.56695719,6.35118177,145.105065,Coffee,8.31898612539206,0.1836648019017348
10.0,56.0,18.0,27.99627907,68.6428593,7.32710972,46.10585191,Lentil,7.824445930877619,0.6072174768308674
60.0,57.0,24.0,18.66116213,61.55327249,6.121294041,75.03247667,Maize,8.33110454805304,0.24870779901863696
99.0,39.0,18.0,19.20129357,68.30578978,6.11275104,87.85092352,Maize,6.621405651764134,0.2185667810702411
13.0,17.0,45.0,21.25433607,92.65058936,7.159520979,106.2784673,Pomegranate,6.398594934535208,0.19998722796786259
107.0,11.0,54.0,28.59052369,91.33617236,6.094016338,29.44008034,Muskmelon,7.855544677915663,0.9711428552537901
78.0,37.0,22.0,25.34217103,63.31801994,6.330554389,74.52082026,Maize,7.3783837129967145,0.34006833175187223
24.0,53.0,17.0,28.95451232,89.07866095,6.421271178,57.65901369,MungBean,7.901377353792616,0.5021680126311283
63.0,37.0,43.0,23.41798979,85.08640476,6.661957897,185.7446728,Jute,8.294299608857235,0.12607623914982738
66.0,44.0,20.0,19.0781471,69.02298571,6.740000688,80.72515943,Maize,7.437206366871292,0.23633458555359155
35.0,74.0,22.0,26.7230014,62.96841833,6.898905799,42.87274897,Lentil,7.170888478512505,0.6233097255430529
27.0,73.0,79.0,19.16288268,15.83500655,7.354973451,82.69766829,ChickPea,6.90875477931522,0.23172216428743012
21.0,38.0,21.0,29.75538903,86.45193297,6.637677489,37.54602719,MungBean,8.294299608857235,0.7925043273286715
8.0,6.0,33.0,28.27804288,93.64761266,6.095261013,171.9457959,Coconut,6.508769136971682,0.1644590536822506
40.0,22.0,29.0,27.55821802,96.96637916,5.735364307,174.6256481,Coconut,5.993961427306569,0.1578131180514821
107.0,36.0,21.0,25.29250148,75.66653335,6.205263534,62.64174227,Cotton,6.803505257608338,0.40376433603883466
5.0,59.0,15.0,18.87492997,20.18238348,5.97229163,134.1811718,KidneyBeans,8.188966863648876,0.14066749988386468
31.0,78.0,76.0,17.57212145,15.22538951,8.519975748,89.31050665,ChickPea,7.1316985104669115,0.19675312689576455
18.0,36.0,23.0,24.01825377,53.76623369,7.214078621,35.03404425,MothBeans,8.188966863648876,0.6855689737602678
98.0,27.0,27.0,24.71384065,51.29142534,7.238109556,197.6439711,Coffee,7.467942332285852,0.1250422186480222
52.0,70.0,16.0,33.66855394,66.60416867,7.534811833,67.32520551,Blackgram,7.824445930877619,0.5000883945314989
129.0,38.0,15.0,24.1472953,75.88298598,6.021439523,69.91563467,Cotton,6.976348070447749,0.3453776170454697
75.0,56.0,18.0,19.39851734,62.35750641,5.696205468,60.95197486,Maize,7.075808863978387,0.3182590454431325
7.0,45.0,22.0,25.50634557,44.8302551,8.736337905,74.32635105,MothBeans,8.160803920954665,0.34316692809808447
24.0,61.0,17.0,22.6371424,65.44544859,6.233269045,38.30411077,Lentil,8.987321812850125,0.5909846734209971
1.0,62.0,23.0,15.43546065,18.37477907,5.607808432,139.0302034,KidneyBeans,8.922791623969637,0.11102235536893255
89.0,83.0,47.0,28.09577643,77.79586769,5.63127166,109.5408614,Banana,8.294299608857235,0.2564867216521189
81.0,16.0,45.0,26.90435747,86.25426228,6.727468157,59.75980023,Watermelon,7.701200180857446,0.45020828988634515
